CAP,GPO,DESCRIP
20,6,Ocupante de camioneta o furgoneta lesionado en accidente de transporte (V50-V59)
20,7,Ocupante de vehículo de transporte pesado lesionado en accidente de transporte (V60-V69)
20,8,Ocupante de autobús lesionado en accidente de transporte (V70-V79)
20,9,Otros accidentes de transporte terrestre (V80-V89)
20,10,Accidentes de transporte por agua (V90-V94)
20,11,Accidentes de transporte aéreo y espacial (V95-V97)
20,12,"Otros accidentes de transporte, y los no especificados (V98-V99)"
20,13,Caídas (W00-W19)
20,14,Exposición a fuerzas mecánicas inanimadas (W20-W49)
20,15,Exposición a fuerzas mecánicas animadas (W50-W64)
20,16,Ahogamiento y sumersión accidentales (W65-W74)
20,17,Otros accidentes que obstruyen la respiración (W75-W84)
20,18,"Exposición a la corriente eléctrica, radiación y temperatura, y presión del aire ambientales extremas (W85-W99)"
20,19,"Exposición al humo, fuego y llamas (X00-X09)"
20,20,Contacto con calor y sustancias calientes (X10-X19)
20,21,Contacto traumático con animales y plantas venenosos (X20-X29)
20,22,Exposición a fuerzas de la naturaleza (X30 -X39)
20,23,"Envenenamiento accidental por, y exposición a sustancias nocivas (X40-X49)"
20,24,"Exceso de esfuerzo, viajes y privación (X50-X57)"
20,25,Exposición accidental a otros factores y a los no especificados (X58-X59)
20,26,Lesiones autoinfligidas intencionalmente (X60-X84)
20,27,Agresiones (X85-Y09)
20,28,Eventos de intención no determinada (Y10-Y34)
20,29,Intervención legal y operaciones de guerra (Y35-Y36)
20,30,"Drogas, medicamentos y sustancias biológicas causantes de efectos adversos en su uso terapéutico (Y40-Y59)"
20,31,Incidentes ocurridos al paciente durante la atención médica y quirúrgica (Y60-Y69)
20,32,Dispositivos médicos de diagnóstico y de uso terapéutico asociados con incidentes adversos (Y70-Y82)
20,33,"Procedimientos quirúrgicos y otros procedimientos médicos como la causa de reacción anormal del paciente o de complicación posterior, sin mención de incidente en el momento de efectuar el procedimiento (Y34-Y84)"
20,34,Secuelas de causas externas de morbilidad y de mortalidad (Y85-Y89)
20,35,Factores suplementarios relacionados con causas de morbilidad y de mortalidad clasificadas  en otra parte (Y90-Y98)
22,1,Asignación provisionaria de nuevas afecciones de etiología incierta o de uso emergente (U00-U49)
