NOMBRE_CAMPO,LONGITUD,TIPO,NEMÃ“NICO,CATÃLOGO,RANGO_CLAVES                                                              
Edad (agrupada) del (la) fallecido (a),2,C,edad_agru,edad_agrupada,"01 … 30	"
Complicaron el embarazo,1,N,complicaro,complicaron_embarazo,"1 ,2, 8, 9                                                                 "
DÃ­a de certificaciÃ³n,2,N,dia_cert,dia,"1 … 31, 99                                                                "
Mes de certificaciÃ³n,2,N,mes_cert,mes,"1 … 12, 99                                                               "
AÃ±o de certificaciÃ³n,4,N,anio_cert,aÃ±o,"2023, 2024"
Defunciones maternas totales,4,C,maternas,causa_defuncion,"A34X,F53,M830, causas que comienzan con O,C58X,D392,E230, Nulo"
Entidad de ocurrencia de la lesiÃ³n,2,C,ent_ocules,entidad_municipio_localidad_2024,"01 … 35, 88, 99                                                            "
Municipio o demarcaciÃ³n territorial de ocurrencia de la lesiÃ³n,3,C,mun_ocules,entidad_municipio_localidad_2024,"001 … 570, 888, 999                                                       "
Localidad de ocurrencia de la lesiÃ³n,4,C,loc_ocules,entidad_municipio_localidad_2024,"0001 … 6999, 7777, 8888, 9999                                                  "
Defunciones para calcular la razÃ³n de la mortalidad materna,1,N,razon_m,razon_materna,"1, Nulo"
Distritos de registro de Oaxaca,3,C,dis_re_oax,entidad_municipio_localidad_2024,"901 … 930, 999"
